styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
2145,1.341336,95.41,5,0.906019,74.23,4,2.256071,99.49,5,1,0,0,
2146,1.166191,85.46,5,0.907711,74.49,4,1.68288,96.68,5,4,1,2,
2149,1.022034,78.57,4,0.786514,70.92,4,1.514631,93.88,5,5,1,2,
2151,1.126725,83.93,5,0.901124,73.47,4,1.509961,93.62,5,1,0,0,
2152,0.903635,71.94,4,0.71689,69.39,4,1.332709,92.09,5,2,1,2,
2153,0.665458,66.58,4,0.456918,61.48,4,1.105018,86.99,5,1,1,2,
2161,1.047142,80.1,5,0.610359,66.33,4,2.38871,99.74,5,1,0,0,
2162,1.034388,79.34,4,0.836376,72.7,4,1.780483,97.7,5,1,0,0,
2163,0.723596,68.11,4,0.53381,64.54,4,1.63727,95.92,5,2,0,0,
2164,1.227516,88.27,5,1.07547,83.42,5,1.641768,96.17,5,1,0,0,
2165,0.481529,63.01,4,0.175515,56.12,3,1.20485,88.78,5,2,0,0,
2166,0.71078,67.86,4,0.479587,62.5,4,1.880944,98.47,5,2,0,0,
2211,0.978212,76.53,4,0.970315,77.81,4,0.7376,72.45,4,4,1,2,
2212,0.490841,63.27,4,0.483067,62.76,4,0.338582,60.71,4,5,1,2,
2221,0.220262,57.65,3,0.236154,57.4,3,-0.02931,50.0,3,3,0,0,
2222,0.196627,56.38,3,0.305224,58.93,3,-0.123985,46.43,3,1,0,0,
2223,0.220262,57.91,3,0.236154,57.65,3,-0.02931,50.26,3,3,0,0,2221
2224,0.220262,58.16,3,0.236154,57.91,3,-0.02931,50.51,3,3,0,0,2221
2250,-0.074996,47.96,3,-0.084255,48.47,3,-0.13805,45.66,3,1,0,0,
2261,-0.103694,47.19,3,-0.217969,43.88,3,0.155598,56.12,3,4,0,0,
2262,0.60587,65.82,4,0.570596,65.56,4,0.477584,63.78,4,1,0,0,
2263,0.763298,68.88,4,0.783148,70.66,4,0.654606,69.64,4,2,0,0,
2264,-0.195691,43.62,3,0.123902,54.85,3,-0.844505,17.86,1,2,0,0,
