date,sector,age_group,ai_q,employment,percap,emp_index
2024-08-16,1,3,all,248180.0,0.3435502313129328,0.9744286808453686
2024-09-16,1,3,all,250361.0,0.34656934266152456,0.9829919371630564
2024-10-16,1,3,all,251551.0,0.3480022632853884,0.9870562015005644
2024-11-16,1,3,all,251965.0,0.3485750017638685,0.9886806882544283
2024-12-16,1,3,all,253849.0,0.351181376868836,0.9960732801488238
2025-01-16,1,3,all,248919.0,0.34422250924448305,0.9763354963218085
2025-02-16,1,3,all,250882.0,0.34693708220053265,0.984034975185534
2025-03-16,1,3,all,250601.0,0.3465484958527742,0.9829328083181338
2025-04-16,1,3,all,250807.0,0.3467652735608537,0.9835476657592518
2025-05-16,1,3,all,250117.0,0.3458112808941538,0.9808418087083166
2025-06-16,1,3,all,243017.0,0.3359948346136191,0.95299893180739
2025-07-16,1,3,all,251783.0,0.3480449143721291,0.9871771749082391
2025-08-16,1,3,all,245747.0,0.3397012251510531,0.963511552416863
2025-09-16,1,3,all,248315.0,0.3432510253365606,0.9735800279897348
2025-10-16,1,3,all,248209.0,0.34303574242018003,0.9729694103009748
2025-11-16,1,3,all,250168.0,0.3457431664837762,0.9806486124039591
2025-12-16,1,3,all,251594.0,0.34771396113139647,0.9862384757009758
2026-01-16,1,3,all,246947.0,0.34122369457379337,0.9678298084854403
2026-02-16,1,3,all,247046.0,0.34136048969891253,0.9682178073315086
2026-03-16,1,3,all,248233.0,0.34300064943140207,0.9728698743040665
2026-04-16,1,3,all,248132.0,0.3427938307830883,0.9722832642416006
2021-01-16,1,4,1,41575.0,0.05910770468752888,1.0241660823777463
2021-02-16,1,4,1,41674.0,0.059248454242888236,1.026604866314136
2021-03-16,1,4,1,41682.0,0.05925982794433142,1.0268019397635413
2021-04-16,1,4,1,41578.0,0.058896355559584786,1.0205040114256643
2021-05-16,1,4,1,41719.0,0.059096085852862516,1.0239647614764367
2021-06-16,1,4,1,40559.0,0.05745291464575495,0.9954933426190176
2021-07-16,1,4,1,41851.0,0.05906286340081063,1.0233891121808865
2021-08-16,1,4,1,41745.0,0.05891326928070631,1.0207970774411868
2021-09-16,1,4,1,42141.0,0.05947213033317151,1.0304805279781784
2021-10-16,1,4,1,41986.0,0.059034187974100656,1.0228922497229496
2021-11-16,1,4,1,41925.0,0.05894841925437456,1.021406125128249
2021-12-16,1,4,1,42300.0,0.05947568597400223,1.0305421369809165
2022-01-16,1,4,1,41434.0,0.058021710880086036,1.005348941209179
2022-02-16,1,4,1,41479.0,0.058084726205413155,1.0064408150894322
2022-03-16,1,4,1,41568.0,0.05820935651550457,1.008600298985933
2022-04-16,1,4,1,41559.0,0.057940443709560266,1.0039408154816905
2022-05-16,1,4,1,41547.0,0.057923713631249554,1.0036509314665365
2022-06-16,1,4,1,40401.0,0.05632599115257692,0.9759670080193406
2022-07-16,1,4,1,41561.0,0.05768387333170483,0.9994951906662537
2022-08-16,1,4,1,41629.0,0.05777825275921032,1.0011305139973887
2022-09-16,1,4,1,42234.0,0.05861795207745775,1.0156800818699876
2022-10-16,1,4,1,41768.0,0.057713007396517156,1.0
2022-11-16,1,4,1,41702.0,0.057621811780539135,0.9984198429419652
2022-12-16,1,4,1,41865.0,0.057847037316969704,1.002322352039839
2023-01-16,1,4,1,41316.0,0.05684527699620949,0.9849647343042457
2023-02-16,1,4,1,41537.0,0.057149343367982226,0.9902333277373283
2023-03-16,1,4,1,41561.0,0.05718236415043718,0.9908054826802875
2023-04-16,1,4,1,41523.0,0.05689765738903566,0.9858723354705875
2023-05-16,1,4,1,41488.0,0.05684969799283075,0.9850413374275397
2023-06-16,1,4,1,40306.0,0.05523004066956798,0.9569773463737566
2023-07-16,1,4,1,41394.0,0.05648598084929567,0.9787391681256323
2023-08-16,1,4,1,41075.0,0.0560506755419824,0.9711965823732992
2023-09-16,1,4,1,41348.0,0.056423209551062406,0.977651522531252
2023-10-16,1,4,1,41376.0,0.056228468923904845,0.9742772290064042
2023-11-16,1,4,1,41449.0,0.05632767325084426,0.9759961539319038
2023-12-16,1,4,1,41746.0,0.056731285375515556,0.98298958821784
2024-01-16,1,4,1,40993.0,0.05552906562488994,0.9621585865969097
2024-02-16,1,4,1,41187.0,0.05579185777797043,0.9667120168362139
2024-03-16,1,4,1,41213.0,0.05582707734487813,0.9673222703734403
2024-04-16,1,4,1,41220.0,0.055705789104531465,0.9652206949086001
2024-05-16,1,4,1,41234.0,0.055724709071718836,0.9655485233833385
2024-06-16,1,4,1,40199.0,0.05432598292608104,0.9413126325723148
2024-07-16,1,4,1,41586.0,0.05606607238193849,0.9714633652122233
2024-08-16,1,4,1,41000.0,0.05527602961716631,0.9577742022243341
2024-09-16,1,4,1,41298.0,0.055677791978774004,0.9647355854502572
2024-10-16,1,4,1,41198.0,0.05541059631151951,0.9601058550080586
2024-11-16,1,4,1,41327.0,0.05558409907680389,0.9631121576270215
2024-12-16,1,4,1,40749.0,0.05480669908971572,0.9496420575203498
2025-01-16,1,4,1,40008.0,0.05371398190737802,0.9307084196520234
2025-02-16,1,4,1,40295.0,0.05409930266341225,0.9373849172635044
2025-03-16,1,4,1,40086.0,0.05381870322783332,0.9325229381666419
2025-04-16,1,4,1,40232.0,0.05394902519775632,0.9347810421158544
